teamNum,teamName,scouted
418,Purple Haze,1
2583,Orange Dynamite,1
2789,TEXPLOSION,1
3561,RoboRaiders,1
3679,rattlers,1
3743,Eagle Bots,1
3802,RoboPOP,1
3847,Spectrum,0
4332,RoboCats,0
4364,Metal Jackets,0
4597,SABERBOTS,0
4610,BearTecs,0
4717,Westerner Robotics,0
5052,The RoboLobos,0
5103,Jaegernauts,0
5414,Pearadox,0
5503,Smithville Tiger Trons,0
5726,RHUMBOTZ,0
5892,Energy HEROs,0
5894,J.E.H.S. CyberJags,0
6155,ElektraBots,0
6357,The Spring Konstant,0
6369,Mercenary Robotics,0
7138,Wing It,0
8019,Patriot Engineering,0
8114,Rocketeers,0
8507,Jagwire Robotics,0
8598,Electro-Knights,0
8610,Lanier Voks,0
8625,MHS Eagle,0
8749,Farmersville Robotics,0
8827,CougarTrons,0
8879,REDBird Robotics,0
9054,Johnson City Joules,0
9121,Mavericks,0
9137,Bionic Vipers,0
9140,The Robobots,0
9418,Pastabots,0
9448,Wave Wranglers,0
9506,MECHS Robotics,0
9524,SHS Cardinal Chaos,0
9664,Boogie Bots,0
